temperature,humidity,co2,feed,age_week,daily_gain,survival_rate
26.73,50.5,1197,1.043,1,0.805,85.2
17.59,64.8,594,1.995,2,0.926,86.8
18.23,63.1,1450,1.081,4,0.882,85.7
16.47,53.0,400,0.472,2,0.724,87.5
15.27,47.8,406,0.743,3,0.783,83.49
22.92,62.9,1478,1.471,3,0.995,89.78
22.91,59.2,1093,1.01,2,0.869,91.03
19.55,61.1,824,0.897,1,0.817,89.64
18.37,67.5,914,0.845,4,0.945,85.91
20.32,42.8,944,0.857,2,0.814,90.13
22.12,66.0,1121,0.791,4,0.93,91.11
20.55,74.5,1171,0.498,3,0.667,88.14
27.83,65.4,3000,0.894,4,0.499,74.44
19.83,59.0,515,0.913,1,0.853,89.23
24.7,60.5,1331,0.755,2,0.804,87.81
19.76,65.3,1466,1.408,2,0.888,89.24
14.0,44.7,731,0.812,1,0.698,83.28
26.93,63.1,1478,1.111,3,0.875,85.32
22.68,69.9,1462,1.378,6,1.071,88.16
18.49,65.2,767,0.4,0,0.722,85.86
18.95,62.7,881,1.143,7,1.009,91.18
18.19,57.9,824,0.839,3,0.85,90.0
17.2,72.7,695,1.716,4,1.021,86.13
25.08,51.9,1036,0.956,3,0.936,91.28
22.95,46.6,783,0.9,7,0.998,92.42
21.73,70.2,1088,1.236,1,0.804,89.68
20.66,58.2,1595,1.14,6,1.058,88.91
23.92,69.2,1305,1.89,3,1.024,88.17
19.7,45.2,1560,1.242,3,0.967,89.39
25.75,58.5,2624,0.681,2,0.591,81.19
20.61,37.0,879,0.916,4,0.858,90.67
29.08,45.7,1043,1.198,5,0.928,87.12
20.3,50.3,1099,1.157,0,0.848,88.85
18.32,72.6,1133,0.891,2,0.731,86.2
22.04,62.1,614,0.898,3,0.862,94.2
21.7,60.8,615,1.241,5,1.034,93.71
23.46,55.1,961,0.874,3,0.93,93.04
25.78,50.7,765,0.999,3,0.847,87.6
20.88,60.6,1130,1.364,6,1.113,92.82
24.99,43.5,631,1.083,2,0.869,88.77
18.59,53.6,580,0.856,2,0.866,88.7
25.54,54.0,2881,1.161,3,0.743,81.47
22.01,57.5,1113,1.718,2,1.005,93.12
24.58,54.9,588,1.382,6,1.114,92.3
19.43,57.1,407,0.724,5,0.913,92.65
20.6,45.4,747,0.886,2,0.836,90.66
24.22,41.9,581,1.135,5,1.07,90.01
25.71,45.5,1387,0.867,6,0.896,87.47
18.6,70.7,745,1.721,5,1.064,88.54
18.95,52.5,940,1.35,3,0.986,90.9
22.13,62.2,1093,0.747,1,0.754,91.7
22.71,66.2,2152,1.364,4,0.843,86.47
24.25,46.7,847,0.855,0,0.831,90.07
23.0,56.0,1275,1.27,4,0.954,92.66
23.67,53.2,1141,0.895,3,0.778,91.53
24.01,46.8,904,0.909,2,0.867,90.04
18.63,70.1,1421,1.26,7,0.983,88.08
21.43,84.8,1383,1.29,2,0.721,81.17
23.12,62.2,1062,1.67,4,1.109,91.63
22.81,45.5,935,1.028,2,0.752,92.63
19.67,82.8,1165,0.753,1,0.782,84.83
21.85,60.4,1217,1.312,2,0.994,91.52
23.02,45.7,640,0.813,0,0.757,89.42
25.19,59.0,1748,1.158,5,0.913,88.33
16.72,67.8,852,1.264,4,0.976,85.96
19.04,43.0,448,1.189,5,1.046,90.8
17.9,48.9,462,0.925,0,0.797,86.53
17.73,50.6,641,0.675,2,0.755,87.85
25.18,39.7,777,1.387,3,1.108,86.89
20.28,67.7,902,1.458,4,1.082,92.55
20.97,60.5,1050,1.406,2,0.99,90.86
22.12,54.3,1172,0.787,5,0.917,93.24
23.4,41.1,1211,1.708,6,1.126,87.08
26.28,52.3,607,0.622,3,0.834,88.07
20.22,47.6,679,1.23,0,0.807,90.05
20.65,70.7,731,1.416,2,0.928,89.92
23.64,64.3,1585,1.418,1,0.853,86.44
25.34,44.0,1016,1.173,4,0.947,87.59
23.01,46.0,487,1.353,4,1.078,93.51
25.45,51.7,626,1.437,3,0.959,92.05
23.03,47.9,1582,0.805,2,0.701,90.29
22.32,44.2,853,1.533,3,1.004,93.37
23.19,30.0,575,0.913,1,0.789,90.06
25.24,49.1,940,1.011,0,0.864,90.18
18.6,67.1,401,0.904,2,0.932,87.27
27.23,58.1,1100,1.575,2,0.915,85.67
25.03,39.3,1243,0.944,1,0.83,88.43
21.35,58.2,757,1.274,2,1.007,91.67
23.86,57.7,1050,1.006,3,0.94,90.14
23.65,73.6,2035,1.473,8,1.001,84.6
23.55,58.4,1393,0.827,2,0.788,89.55
20.48,62.5,874,1.153,5,0.966,89.87
24.59,51.3,776,1.464,5,1.071,90.26
17.18,56.0,704,1.268,5,1.057,88.96
22.85,60.0,1072,0.931,2,0.863,90.17
22.06,54.6,437,1.006,3,0.925,94.91
21.16,53.3,992,0.757,0,0.798,91.42
20.96,63.3,1860,1.328,0,0.794,87.68
21.3,58.1,972,1.26,1,0.889,92.18
22.19,58.9,1343,0.869,2,0.81,91.04
14.0,55.7,430,0.7,3,0.788,86.4
21.83,33.3,645,0.734,4,0.77,90.76
18.15,58.5,664,1.156,3,0.987,89.02
21.23,40.8,400,0.879,3,0.87,88.47
20.18,62.6,823,0.824,2,0.814,90.78
22.68,57.6,2023,0.897,3,0.775,87.31
23.28,53.7,792,0.66,1,0.732,92.04
18.78,41.0,411,0.702,4,0.865,88.35
23.8,44.7,761,0.537,1,0.678,87.96
23.2,62.0,847,1.464,0,0.997,90.53
18.26,65.0,1589,1.214,3,0.879,85.95
15.41,40.9,465,0.848,1,0.693,83.62
22.2,56.0,1331,1.135,5,1.036,93.24
22.02,53.9,1324,0.793,8,0.936,93.79
23.13,57.7,1249,1.674,5,1.054,92.59
17.18,72.6,790,1.142,1,0.693,83.48
23.58,47.4,903,1.005,7,1.1,91.49
27.95,50.5,1271,1.05,5,0.972,87.18
21.01,51.7,1150,0.902,3,0.805,92.48
17.26,65.8,1669,1.268,6,0.899,86.3
19.46,59.4,574,1.029,4,0.98,90.76
22.31,41.1,430,0.657,3,0.791,88.75
28.19,63.0,773,1.66,5,0.943,88.61
17.36,55.9,1014,1.19,1,0.882,85.85
23.83,32.8,619,1.375,3,0.991,88.65
20.5,64.9,1416,1.494,5,0.976,92.45
25.24,59.4,1347,1.184,3,0.932,88.35
18.36,48.8,562,1.102,6,1.004,90.4
21.87,64.8,1616,1.055,4,0.848,90.54
21.27,68.4,1400,0.784,3,0.662,89.27
26.94,49.1,1339,1.298,1,0.806,88.33
23.53,40.2,598,1.388,4,0.997,88.92
21.09,60.1,909,1.113,4,1.026,91.72
19.82,57.2,718,0.615,1,0.781,90.3
26.7,54.8,746,0.724,2,0.787,90.33
26.68,49.3,1831,1.227,4,0.86,84.19
17.99,67.4,760,1.356,2,0.838,87.44
22.53,58.0,930,1.241,3,0.903,93.84
20.05,72.2,1618,0.904,4,0.767,87.95
19.77,45.4,959,0.515,4,0.828,91.12
21.24,53.6,973,1.251,2,0.945,93.67
24.15,54.3,637,1.092,6,1.018,93.14
27.03,57.8,847,1.339,5,0.997,88.43
24.18,60.8,1335,1.126,2,0.867,88.89
16.31,63.0,762,1.219,1,0.905,85.15
23.94,73.3,1486,1.18,4,0.921,91.45
28.1,40.0,1114,0.882,2,0.662,82.42
21.85,68.2,2261,1.26,2,0.776,87.15
29.48,44.6,993,0.641,5,0.732,81.91
24.9,76.0,954,1.672,4,1.023,87.26
24.42,37.0,1329,1.274,3,1.014,85.98
23.94,46.0,696,0.96,0,0.823,89.73
24.59,64.4,978,1.284,3,1.027,90.01
22.98,48.1,604,1.408,3,0.985,92.99
28.07,50.4,877,1.537,5,0.978,89.01
24.18,64.7,975,1.139,3,0.818,89.52
18.13,55.7,1166,1.104,0,0.846,86.77
17.33,75.0,919,0.928,2,0.817,83.13
17.57,72.5,793,1.52,4,0.84,86.71
26.29,53.9,1634,1.354,5,0.971,87.7
23.04,51.9,1892,0.808,3,0.817,89.29
22.04,58.9,823,1.215,3,1.013,92.95
17.25,59.0,462,0.554,3,0.756,89.42
23.46,58.9,1326,0.556,0,0.723,87.6
27.92,39.9,1284,0.908,3,0.727,82.28
20.1,62.0,949,0.968,1,0.872,88.67
22.8,42.6,888,1.832,7,1.156,92.19
24.16,52.4,474,0.752,5,0.953,93.1
19.63,50.2,658,0.737,0,0.829,89.2
21.85,46.5,573,0.843,4,0.907,92.83
21.3,53.9,1055,1.036,2,0.906,92.87
23.41,60.3,1034,1.166,2,0.981,90.41
19.42,64.6,1069,1.233,4,0.967,89.7
22.14,61.6,1468,1.386,3,0.9,91.03
26.16,53.7,1485,1.226,4,0.954,86.32
19.79,63.6,2690,0.957,3,0.825,82.93
20.66,51.4,1384,0.849,2,0.877,90.29
17.24,51.6,400,1.232,8,1.155,91.4
20.9,39.8,887,0.798,5,0.767,92.4
21.15,49.6,718,1.293,3,0.986,93.9
20.51,54.3,495,1.211,0,0.879,91.61
20.67,63.5,1080,1.287,3,0.965,89.94
25.51,61.0,1515,1.439,5,1.104,87.7
20.68,43.1,774,1.191,5,0.966,91.04
19.19,48.6,786,1.01,0,0.941,88.27
23.13,36.1,477,1.451,7,1.094,91.33
18.35,54.8,712,1.577,3,1.038,90.5
20.57,71.2,957,1.364,0,0.913,86.2
21.49,39.4,435,1.292,3,1.022,91.89
21.04,48.5,688,1.153,5,1.06,91.07
14.12,53.5,544,0.958,4,0.803,85.38
22.8,51.4,727,1.03,5,1.028,94.31
19.8,56.2,850,1.535,3,1.019,92.04
24.88,64.5,1275,1.115,2,0.819,86.96
21.23,63.9,1101,1.192,1,0.869,92.37
19.1,78.2,1062,0.927,5,0.782,85.75
22.85,59.9,991,1.038,3,0.976,90.2
17.85,57.6,798,1.598,4,1.072,89.89
15.0,59.9,1741,1.247,2,0.774,79.54
23.77,46.3,516,1.004,3,0.886,89.71
16.38,48.6,547,0.879,4,0.934,87.76
18.36,65.0,538,1.592,0,0.917,86.49
18.72,61.8,1540,1.155,4,0.986,88.12
22.05,45.0,622,0.709,0,0.808,89.76
23.21,43.1,885,0.679,3,0.801,91.48
20.53,69.8,1215,1.501,2,0.936,85.48
22.17,45.4,650,0.992,1,0.837,92.62
18.35,44.4,400,0.727,4,0.906,87.96
17.2,45.7,1082,0.788,3,0.808,88.26
23.93,59.8,628,1.096,0,0.857,89.25
29.34,33.4,666,0.818,0,0.59,84.46
26.06,75.1,1437,0.85,0,0.397,80.69
21.27,52.5,638,1.154,4,1.006,91.87
22.97,51.1,588,1.309,3,1.043,92.39
24.67,60.4,694,0.752,1,0.821,90.4
18.83,65.0,998,1.418,4,1.075,89.72
22.63,66.1,1381,1.167,6,0.954,92.46
22.35,51.8,630,1.31,6,1.089,95.02
21.85,67.8,533,1.158,3,0.871,90.44
19.82,79.9,1202,1.051,3,0.759,87.36
15.99,52.6,833,0.812,1,0.861,86.41
25.93,64.7,1715,1.05,2,0.762,83.56
19.59,47.4,445,0.868,1,0.811,89.39
17.31,61.0,800,1.561,2,0.967,87.38
22.89,57.3,906,1.344,5,1.009,94.75
22.98,51.7,790,0.7,1,0.772,91.25
20.13,45.7,788,1.386,2,1.024,89.32
22.85,44.3,695,0.868,4,0.893,90.78
19.96,66.5,884,0.93,0,0.733,90.78
22.76,63.0,1221,1.801,7,1.095,91.47
21.08,52.7,968,0.825,5,0.967,94.42
23.08,56.6,1296,1.621,4,1.048,90.64
21.66,69.9,1678,1.048,3,0.76,89.02
22.59,58.0,591,0.681,1,0.788,92.36
19.11,51.2,877,0.988,3,1.02,91.28
18.33,53.6,854,1.214,2,1.008,90.38
22.48,75.9,1363,0.985,2,0.87,87.63
22.28,53.3,878,0.671,1,0.718,92.31
21.55,53.8,688,1.044,3,0.945,94.76
24.67,51.8,1184,0.958,4,0.891,89.41
23.13,62.4,1465,1.31,3,0.966,86.68
22.73,64.7,884,0.971,3,0.95,89.38
23.25,46.0,805,1.054,0,0.862,88.24
21.34,54.0,795,1.508,1,0.97,92.96
19.53,31.8,411,0.863,2,0.759,89.98
25.32,60.6,1289,1.056,5,0.98,86.64
21.94,47.1,403,0.96,4,0.98,92.23
28.83,49.9,973,0.83,4,0.784,85.93
16.71,64.7,1028,1.187,3,0.904,87.99
23.69,55.2,754,1.681,3,1.076,91.65
24.33,30.0,1070,1.447,4,0.994,87.5
23.68,59.0,851,1.309,2,1.011,90.95
20.17,67.4,1452,0.904,1,0.787,90.95
20.06,63.7,634,1.227,5,1.036,91.28
21.74,65.0,948,1.077,1,0.852,91.35
25.05,45.0,1051,1.075,1,0.848,87.62
20.17,69.9,1133,0.834,3,0.756,87.76
21.56,85.0,1826,1.113,6,0.728,88.07
16.48,60.5,1465,0.988,0,0.762,82.38
20.81,70.1,1268,0.892,1,0.698,84.6
20.32,59.9,1465,1.391,4,1.042,89.63
18.01,45.5,704,0.604,2,0.79,88.32
22.91,43.2,521,1.051,4,0.997,90.6
25.18,58.2,1220,0.934,1,0.845,88.32
20.47,60.2,1016,0.475,1,0.763,89.14
25.61,52.8,643,1.854,4,1.071,91.13
23.15,57.9,893,0.917,7,1.047,94.5
25.01,60.5,1522,0.858,5,0.927,88.44
19.47,59.9,444,0.504,3,0.754,90.58
19.57,37.8,680,1.619,7,1.241,87.8
21.23,55.7,1214,1.413,3,1.107,90.78
22.1,57.8,1180,1.066,3,0.962,92.42
26.14,63.3,1668,1.69,3,0.958,86.09
26.87,56.2,3000,0.775,1,0.584,81.56
23.26,57.8,2171,0.905,5,0.82,88.1
25.49,58.9,851,1.591,6,1.133,91.44
23.8,55.5,1119,1.1,4,1.006,93.1
22.09,46.7,521,0.859,3,0.848,92.35
21.92,57.2,1128,0.916,6,0.928,94.38
21.2,51.5,959,0.526,1,0.729,91.42
24.94,35.7,1176,1.494,3,1.012,85.94
22.88,65.1,965,1.415,2,0.921,90.79
20.57,48.5,824,1.393,3,1.02,92.81
18.19,47.7,705,1.56,5,1.114,90.17
20.84,63.4,887,1.009,1,0.805,91.31
26.23,30.0,964,0.896,2,0.56,83.08
27.08,43.9,797,1.093,4,0.837,85.6
20.67,40.9,455,1.416,4,1.051,90.79
23.35,51.3,717,1.608,3,1.09,92.98
20.67,66.7,776,0.963,3,0.917,92.46
22.0,57.5,2093,1.182,0,0.802,84.95
22.98,54.6,970,1.183,3,0.942,94.93
21.84,61.1,811,0.849,8,1.009,95.18
19.85,57.8,463,1.136,1,0.929,91.21
20.67,66.2,1213,1.289,0,0.831,85.85
27.51,38.9,1737,1.391,5,0.943,82.32
19.44,58.6,676,1.095,3,0.979,91.32
15.88,71.0,775,0.94,2,0.852,81.97
23.08,45.5,400,1.226,4,0.986,88.61
21.4,44.4,734,0.615,0,0.783,90.57
19.75,65.0,811,0.982,7,1.126,91.26
23.06,57.4,878,0.952,0,0.832,92.56
24.91,56.9,1061,1.108,4,0.993,90.31
17.34,53.2,411,1.569,5,1.069,89.43
15.39,45.8,461,0.837,0,0.763,84.75
27.83,53.2,1550,0.96,4,0.856,87.06
20.86,53.2,1017,0.588,5,0.854,92.34
22.55,66.9,774,0.896,0,0.814,91.16
22.75,55.0,794,0.816,0,0.815,91.75
21.85,50.6,632,1.547,3,1.083,93.18
25.81,46.7,1096,1.098,0,0.846,87.24
26.29,50.1,1462,0.906,2,0.804,87.2
19.4,69.1,1105,1.226,6,0.993,89.47
25.47,59.5,721,0.977,1,0.893,87.75
24.18,54.8,613,1.091,0,0.917,89.07
21.84,39.1,810,1.139,7,1.019,92.2
24.54,48.8,1302,0.685,1,0.746,89.0
23.0,33.3,634,0.725,3,0.69,89.45
18.77,61.8,826,1.498,4,1.107,89.91
19.69,54.5,457,1.205,4,1.07,91.96
29.41,42.8,1072,0.983,3,0.707,83.55
23.15,53.5,1432,0.913,5,0.922,90.51
23.62,53.5,867,1.837,2,1.036,92.39
22.89,47.0,1627,1.319,2,0.873,89.77
23.54,56.2,839,1.356,4,1.065,92.38
22.65,54.1,1089,1.167,3,0.918,93.04
20.08,73.0,740,1.286,3,0.918,85.8
27.28,41.9,762,0.841,3,0.733,86.02
17.88,53.8,400,1.139,2,0.965,88.92
17.54,69.2,526,1.35,2,0.942,87.79
26.8,58.3,903,0.919,4,0.855,88.44
21.21,54.0,1360,0.848,3,0.848,92.44
24.86,60.4,1139,1.077,0,0.822,87.54
18.83,60.7,766,1.105,5,1.069,88.44
18.44,55.7,769,0.845,6,0.974,91.17
24.73,55.5,2168,0.672,2,0.729,86.53
23.1,45.2,907,0.744,4,0.842,91.57
25.17,55.0,551,0.88,4,0.967,91.24
22.06,30.0,893,1.021,1,0.869,87.46
24.98,46.0,717,1.219,7,1.148,90.39
26.87,54.4,1479,1.391,1,0.929,84.41
23.93,46.3,985,1.019,4,0.956,88.34
22.35,30.0,564,1.172,4,1.019,89.03
21.69,71.2,1340,1.286,5,1.063,88.63
23.09,45.4,400,0.967,4,0.891,92.57
20.94,63.6,1041,1.499,3,0.988,88.36
23.4,58.7,1881,0.609,1,0.59,88.05
24.55,67.8,1489,1.096,4,0.947,90.49
24.61,49.3,1097,1.457,7,1.073,90.94
24.23,53.6,999,1.29,3,0.916,91.11
22.57,44.3,1257,0.711,2,0.708,90.32
22.29,74.0,1113,0.989,2,0.667,89.81
26.98,30.0,481,1.861,5,1.015,83.75
18.68,57.4,770,1.315,7,1.095,90.87
23.17,48.8,1172,0.874,1,0.726,90.59
16.72,44.2,400,0.65,3,0.789,84.0
18.4,30.0,400,0.816,2,0.785,86.24
26.56,45.3,1432,1.105,3,0.713,84.8
19.49,56.5,583,1.133,3,0.945,91.14
19.17,67.0,1091,0.972,3,0.858,87.31
21.75,46.8,780,0.879,1,0.821,92.84
17.13,55.6,811,0.825,8,1.005,90.95
24.66,65.4,1772,1.715,2,0.993,85.24
14.32,57.1,686,1.043,4,0.98,85.34
25.96,55.4,1610,0.866,0,0.684,85.89
26.84,51.9,932,0.977,1,0.731,89.94
19.87,44.3,400,0.991,2,0.874,87.94
25.32,55.1,1250,0.921,2,0.843,90.04
23.08,61.0,1046,1.459,3,1.022,91.84
24.38,48.3,468,1.208,5,1.071,92.39
23.73,57.6,931,0.9,4,1.025,92.6
23.28,48.5,1328,0.816,1,0.689,89.2
26.91,59.3,1188,1.272,3,0.875,88.15
14.0,53.1,487,0.878,3,0.869,85.28
25.39,49.1,678,1.231,2,0.928,89.56
21.53,52.6,1958,0.4,1,0.659,90.57
21.99,47.4,1101,1.298,3,1.005,92.07
21.19,54.6,812,1.066,3,1.005,92.88
22.76,61.7,671,0.842,0,0.883,90.26
24.6,55.3,1308,0.706,6,0.922,91.52
20.17,58.2,1167,0.785,2,0.74,89.38
22.54,82.2,1737,1.687,6,0.872,85.6
23.1,44.5,1195,0.616,6,0.991,89.87
22.6,30.0,506,1.201,3,0.813,89.39
24.15,45.0,525,1.084,3,0.965,89.07
20.95,67.8,769,1.241,3,0.814,88.88
17.33,46.1,558,1.588,5,1.029,86.93
16.82,30.0,518,0.89,5,0.921,83.29
19.36,60.6,1152,0.944,2,0.859,88.42
22.08,60.2,991,1.41,2,0.976,92.59
18.01,77.5,828,0.976,3,0.766,85.03
22.2,51.1,843,1.076,3,0.873,93.5
14.93,79.1,824,1.276,1,0.798,81.76
20.59,49.7,1296,0.868,4,0.872,91.36
20.05,52.2,682,1.446,0,0.901,88.78
18.05,39.4,400,0.759,0,0.749,84.11
19.8,37.3,400,1.368,4,1.046,89.4
22.56,44.8,431,0.75,2,0.817,91.36
24.6,61.6,1544,0.935,3,0.846,88.97
21.04,53.9,1794,0.535,2,0.697,87.46
25.64,37.8,655,0.932,2,0.779,85.68
17.21,64.8,1004,1.217,2,0.895,85.85
22.26,46.1,684,1.709,4,1.124,92.69
18.44,59.7,461,0.734,0,0.825,88.17
20.67,65.2,1238,1.27,1,0.917,89.32
20.38,59.0,683,1.02,4,0.948,91.92
20.95,58.1,1628,1.027,5,0.957,92.29
23.68,39.4,496,0.828,1,0.82,90.59
21.73,61.2,1599,1.196,2,0.834,88.45
15.75,60.9,663,1.094,7,0.988,87.8
25.72,59.5,873,1.028,3,0.944,89.94
19.67,61.8,999,0.77,5,0.976,91.32
22.31,38.0,657,1.12,5,0.877,90.72
20.99,63.9,1064,0.731,0,0.818,89.83
25.37,63.8,1507,1.618,6,1.116,85.62
24.05,44.5,1646,1.221,2,0.871,86.8
20.0,59.2,449,1.318,1,0.95,89.2
23.11,49.0,785,0.871,2,0.89,91.81
27.67,63.7,1780,1.198,5,0.731,82.0
25.39,44.1,899,0.564,4,0.805,88.89
28.2,50.6,562,1.373,1,0.784,86.09
20.01,62.7,1000,0.957,2,0.778,89.8
22.38,50.7,559,1.004,4,1.064,92.82
21.47,41.8,989,0.4,1,0.682,89.59
20.14,58.0,1038,1.413,2,0.998,91.74
23.76,55.4,533,1.709,1,1.014,91.03
23.26,57.7,1146,0.978,4,0.893,91.83
17.32,58.3,561,0.858,4,0.901,88.32
25.23,49.0,1350,1.124,1,0.848,88.21
21.23,52.7,628,1.216,4,1.016,93.36
17.23,43.0,612,0.742,3,0.785,85.64
24.34,40.7,473,1.588,4,1.088,89.18
20.74,47.0,586,0.706,4,0.893,91.39
19.67,67.5,832,0.816,2,0.837,90.49
14.13,60.4,546,1.263,0,0.834,83.21
25.49,60.0,2019,1.135,5,0.884,84.3
17.59,65.6,605,0.605,0,0.697,86.61
22.02,47.0,896,0.529,0,0.779,93.13
26.12,60.3,881,1.189,5,0.952,90.59
23.26,55.4,1499,0.888,3,0.748,89.41
21.95,52.4,736,1.116,3,0.991,93.41
18.85,65.4,608,1.048,2,0.858,88.23
23.07,33.6,913,0.817,5,0.806,89.46
20.57,55.7,1716,0.977,5,0.95,90.88
22.12,58.9,1002,1.367,2,0.975,92.22
19.05,51.3,714,0.979,4,0.914,89.88
25.91,42.3,701,0.686,6,0.995,89.75
22.91,58.9,618,1.145,4,0.942,91.92
21.24,66.0,2534,0.824,1,0.62,83.12
19.37,72.7,1557,1.082,3,0.666,83.35
19.55,65.7,804,1.038,4,0.959,90.47
21.44,53.2,841,1.32,7,1.11,94.91
23.76,61.3,1057,0.942,4,0.96,91.73
22.51,40.8,632,1.03,2,0.88,89.44
26.45,55.9,2091,1.223,3,0.903,83.02
19.19,57.5,782,0.668,1,0.78,89.46
21.03,59.8,1099,0.928,4,0.851,91.71
21.45,30.0,434,1.309,0,0.864,87.75
22.34,70.1,912,1.175,0,0.807,87.14
26.88,50.1,1166,1.545,5,0.928,88.29
19.37,50.9,843,0.858,0,0.767,88.56
21.84,40.8,1266,1.072,1,0.77,88.19
19.9,38.5,400,1.321,8,1.213,92.13
24.18,52.3,842,0.841,7,1.045,91.07
21.43,76.0,2175,0.643,1,0.527,84.85
19.99,55.9,780,1.964,2,1.077,91.68
22.69,60.4,1042,1.163,1,0.804,90.3
22.32,59.7,1137,1.287,6,1.043,92.86
24.81,53.3,676,0.969,2,0.918,91.35
22.76,49.7,601,0.75,0,0.793,92.71
21.3,41.4,455,0.933,0,0.77,90.76
23.14,61.2,885,1.018,4,0.957,93.82
19.86,49.2,1102,1.294,5,1.056,90.11
24.78,33.5,1222,1.15,5,0.929,83.84
23.16,54.5,869,1.226,3,1.025,92.78
24.6,37.5,631,1.676,3,1.042,88.93
21.28,47.1,840,0.837,2,0.876,89.66
24.55,46.1,1225,1.331,5,1.114,88.2
22.42,85.0,2466,1.312,1,0.727,79.25
21.71,69.1,2199,1.567,5,1.069,88.01
18.23,62.9,502,0.657,3,0.807,88.71
23.57,62.4,1390,1.301,1,0.796,87.53
21.69,40.7,400,1.283,2,0.936,90.81
24.62,63.6,996,1.352,2,0.946,87.62
16.46,60.8,575,0.925,7,1.058,88.13
17.42,62.5,519,1.351,4,0.972,86.79
23.14,44.9,602,1.359,7,1.126,92.37
23.44,45.1,940,1.793,4,1.096,90.02
26.39,44.2,976,1.299,4,0.961,88.25
19.7,49.1,1005,1.385,6,1.094,91.3
27.41,51.8,1088,1.563,5,1.034,87.47
19.05,47.4,772,0.972,3,0.97,91.06
25.22,59.7,2028,0.573,3,0.794,86.3
24.08,38.5,594,0.822,3,0.851,88.12
26.88,70.5,1227,1.393,4,0.718,83.92
23.16,57.9,1154,1.622,6,1.196,91.51
18.82,65.4,1235,1.181,5,0.908,88.17
22.56,56.5,1007,0.515,2,0.845,92.79
20.0,45.2,1130,1.164,3,0.999,87.0
20.31,59.3,1267,0.837,3,0.923,88.82
24.6,34.1,712,0.925,3,0.901,86.38
20.5,57.6,1775,0.97,3,0.72,87.61
27.98,44.7,2229,1.117,6,0.708,82.19
24.25,56.1,1044,0.951,3,0.917,91.17
24.69,52.6,917,1.056,5,0.974,91.4
25.68,45.5,750,1.232,6,1.031,90.05
25.44,40.0,778,0.814,2,0.843,86.26
26.81,37.2,484,0.869,3,0.781,85.28
23.86,57.7,1681,0.599,5,0.747,88.48
21.06,62.9,590,1.138,3,0.998,91.87
25.47,36.8,821,0.752,4,0.868,87.25
24.33,65.5,1046,1.454,6,1.072,88.74
17.07,65.0,1118,0.985,1,0.827,85.0
24.83,41.0,786,1.072,4,0.957,88.65
20.12,49.9,749,1.351,8,1.231,93.35
17.48,61.8,497,1.382,2,0.986,87.77
19.98,51.0,707,1.153,4,1.061,90.99
21.98,42.1,934,1.023,5,0.86,93.22
19.88,41.3,595,1.4,4,1.059,90.14
21.4,47.1,1457,0.733,1,0.714,88.32
23.71,35.6,1146,1.213,5,0.904,86.57
23.67,52.0,637,1.083,1,0.947,90.45
23.46,61.6,1973,1.237,5,0.986,86.24
21.11,51.1,944,0.952,3,0.829,92.47
18.82,49.1,828,1.288,1,0.976,89.73
24.01,48.2,914,1.518,5,1.134,92.7
24.39,71.5,1100,0.915,1,0.712,85.03
21.24,32.8,523,0.843,4,0.808,90.55
23.06,48.3,1069,1.294,2,0.876,90.79
20.52,34.7,400,0.794,3,0.806,84.97
19.16,52.4,443,1.118,4,0.992,90.69
23.21,54.1,534,0.949,2,0.929,91.94
20.79,56.7,1474,1.312,1,0.904,91.05
24.04,59.5,827,1.407,3,0.996,90.35
17.77,62.9,850,1.005,3,0.923,88.53
19.84,62.7,882,1.152,4,0.972,90.58
18.54,49.2,400,1.226,1,0.895,87.23
22.4,58.3,1236,0.755,2,0.731,90.98
27.01,67.4,2323,1.303,1,0.651,83.62
24.16,51.7,1213,0.921,2,0.87,89.5
22.49,57.0,1165,0.937,0,0.823,92.01
26.87,75.0,2158,0.848,1,0.314,81.64
23.53,66.7,782,1.146,3,0.945,89.64
24.59,49.5,534,1.317,5,1.021,89.99
21.75,59.1,798,0.869,5,0.928,92.98
23.16,58.8,1852,0.799,1,0.726,89.88
22.47,49.1,1123,1.017,1,0.861,91.07
22.2,56.5,1339,1.213,4,0.891,90.74
22.96,52.4,696,1.197,2,0.917,92.89
27.07,63.8,1904,1.306,3,0.738,80.25
18.22,56.1,738,1.12,4,1.038,89.57
24.76,46.0,708,1.539,5,1.073,90.24
20.83,54.9,798,1.095,4,0.999,95.31
29.6,50.5,1787,0.676,1,0.557,82.47
25.69,55.8,400,1.409,7,1.127,91.15
16.01,74.7,400,1.412,3,0.915,83.72
14.95,65.2,1044,1.139,4,0.773,85.67
20.76,38.0,785,1.524,6,1.07,92.54
16.04,45.3,400,0.522,2,0.789,85.01
23.18,40.2,995,1.224,2,0.994,88.91
21.48,36.6,543,1.026,3,0.943,88.78
23.14,56.4,903,1.209,5,1.088,94.02
21.71,58.3,874,0.921,4,0.868,94.48
20.33,60.1,894,1.008,2,0.862,89.3
20.48,40.3,715,1.085,5,0.966,89.9
20.41,74.7,1008,0.904,1,0.919,85.22
16.8,74.2,1522,1.267,1,0.728,81.97
27.43,47.1,1014,1.569,5,1.053,85.4
28.6,51.9,1144,1.0,0,0.712,82.44
21.16,66.8,1330,1.134,1,0.842,90.23
22.68,64.2,1319,1.19,2,0.879,89.52
24.6,30.0,679,1.76,1,0.854,85.44
